Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C19, C20, C28, C29, C30, C31",0603,7,0.1uF,
"C10, C15, C5",0603,3,C,
"C11, C12, C13, C16, C17, C18, C6, C7, C8",1206,9,C,
"C14, C4, C9",0805,3,C,
"C2, C24, C26",0603,3,10uF,
"C21, C27",0603,2,4.7uF,
C22,CP_EIA-6032-15_Kemet-U_Pad2.25x2.35mm_HandSolder,1,330uF,
C23,0603,1,0.01uF,
C25,0603,1,100nF,
C3,0603,1,1uF,
C32,CP_Radial_D10.0mm_P5.00mm,1,C_Polarized,
"D1, D10, D11, D14, D15, D16, D17, D4, D5, D6, D9",D_SMA_Handsoldering,11,SS54,
"D12, D13, D2, D3, D7, D8",D_SOD-323_HandSoldering,6,1N5819,
"D18, D19",0603,2,LED,
"J1, J6",USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,2,USB_C_Receptacle_USB2.0_16P,
"J2, J3, J4, J5",PinHeader_1x03_P2.54mm_Vertical,4,Conn_01x03_Pin,
"L1, L2",L_6.3x6.3_H3,2,10uH,
"Q1, Q2, Q3, Q4, Q5, Q6",Infineon_PG-TDSON-8,6,TPH1R005PL,
R1,0603,1,0R,
"R10, R17, R20, R30, R33, R34, R5, R6, R7, R8, R9",0603,11,10K,
"R11, R12, R13, R14, R15, R16",0603,6,10R,
R18,0603,1,2.6K,
R19,0603,1,1.11K,
"R2, R27, R28, R29, R3, R4",0603,6,1K,
R21,0603,1,6.38K,
R22,0603,1,100K,
"R23, R24, R26, R31, R32",0603,5,5.1K,
R25,2512,1,R_2512,
"SW1, SW2",SW_SPST_CK_RS282G05A3,2,SW_Push,
U1,LQFP-48_7x7mm_P0.5mm,1,STC8051U-32Kx,
"U2, U3, U4",SOP-8_5.28x5.23mm_P1.27mm,3,EG2181,
U5,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,1,TPS5450,
U6,HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.3x2.3mm,1,RT9048,
U7,SOT-23-6,1,MT3608,
U8,SOT-363_SC-70-6,1,INA199xxDCK,
U9,SOIC-8_3.9x4.9mm_P1.27mm,1,CH330N,
